# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AADACL3	ENSG00000188984	ENST00000332530	protein_coding	0	1	3	134	16	0	4	0	0	0	0	29	0	1	50	3	0	0	0	0	0	0	0	0	0	0	35
AADACL3	ENSG00000188984	ENST00000359318	protein_coding	0	3	4	118	0	1	3	0	0	0	0	31	0	0	47	4	0	0	0	0	0	0	0	0	0	2	37
AADACL4	ENSG00000204518	ENST00000376221	protein_coding	0	3	2	181	0	0	0	0	0	0	0	9	0	0	118	2	0	0	0	0	0	0	0	0	0	3	54
ACAP3	ENSG00000131584	ENST00000353662	protein_coding	0	4	2	205	7	0	0	0	0	0	0	63	0	0	112	2	0	0	0	0	2	0	0	0	0	2	25
ACAP3	ENSG00000131584	ENST00000354700	protein_coding	0	4	2	206	7	0	0	0	0	0	0	63	0	0	112	2	0	0	0	0	2	0	0	0	0	2	26
ACAP3	ENSG00000131584	ENST00000354980	nonsense_mediated_decay	0	0	0	130	1	0	0	0	0	0	0	57	0	0	46	0	1	0	0	0	0	0	0	0	0	0	25
ACAP3	ENSG00000131584	ENST00000379037	processed_transcript	0	0	0	96	0	0	0	0	0	0	0	31	0	0	41	0	1	0	0	0	0	0	0	0	0	0	23
ACAP3	ENSG00000131584	ENST00000438966	processed_transcript	0	0	0	82	0	0	0	0	0	0	0	23	0	0	33	0	1	0	0	0	0	0	0	0	0	0	25
ACAP3	ENSG00000131584	ENST00000467278	retained_intron	0	2	0	151	0	0	0	0	0	0	0	63	0	0	59	0	6	0	0	0	2	0	0	0	0	0	25
ACAP3	ENSG00000131584	ENST00000470659	retained_intron	0	0	0	123	0	0	0	0	0	0	0	62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	60
ACAP3	ENSG00000131584	ENST00000472541	retained_intron	0	0	0	148	0	0	0	0	0	0	0	61	0	0	53	0	8	0	0	0	0	0	0	0	0	0	26
ACAP3	ENSG00000131584	ENST00000476572	retained_intron	0	1	0	107	0	0	0	0	0	0	0	31	0	0	50	0	2	0	0	0	1	0	0	0	0	0	25
ACAP3	ENSG00000131584	ENST00000478065	retained_intron	0	0	0	107	0	0	0	0	0	0	0	56	0	0	5	0	18	0	0	0	0	0	0	0	0	0	28
ACAP3	ENSG00000131584	ENST00000479108	retained_intron	0	0	0	119	0	0	0	0	0	0	0	54	0	0	39	0	1	0	0	0	0	0	0	0	0	0	25
ACAP3	ENSG00000131584	ENST00000492936	retained_intron	0	2	0	203	0	0	0	0	0	0	0	63	0	0	85	0	21	0	0	0	2	0	0	0	0	0	36
ACAP3	ENSG00000131584	ENST00000493992	retained_intron	0	0	0	84	0	0	0	0	0	0	0	58	0	0	1	0	2	0	0	0	0	0	0	0	0	0	23
ACOT7	ENSG00000097021	ENST00000361521	protein_coding	0	2	0	853	1	1	7	0	0	0	0	29	0	0	784	0	0	0	0	0	0	0	0	0	0	1	32
ACOT7	ENSG00000097021	ENST00000377842	protein_coding	0	1	0	660	1	0	2	0	0	0	0	29	0	0	594	0	0	0	0	0	0	0	0	0	0	1	34
ACOT7	ENSG00000097021	ENST00000377845	protein_coding	0	1	0	670	1	0	0	0	0	0	0	29	0	0	603	0	0	0	0	0	0	0	0	0	0	1	37
